id,result_url,upload_date,uploaded_listing,model_id_original,model_name,model_name_en,arch,framework,backend,ai_device,cpu_name,cpu_topology,base_frequency,memory,os,single_precision_score,half_precision_score,quantized_score
543627,https://browser.geekbench.com/ai/v1/543627,August 04 2026 04:06 PM,"Tue, 04 Aug 2026 16:06:18 +0000","MacPro7,1",Mac Pro（2019 年）,,AMD/Other (Hackintosh),Core ML,CPU,AMD Ryzen 9 9950X,AMD Ryzen 9 9950X,"1 Processor, 16 Cores, 32 Threads",4.30 GHz,96.00 GB,macOS 26.6 (Build 25G72),1863,1419,1037
543629,https://browser.geekbench.com/ai/v1/543629,August 04 2026 04:09 PM,"Tue, 04 Aug 2026 16:09:41 +0000","MacPro7,1",Mac Pro（2019 年）,,AMD/Other (Hackintosh),Core ML,GPU,AMD Radeon RX 6950 XT,AMD Ryzen 9 9950X,"1 Processor, 16 Cores, 32 Threads",4.30 GHz,96.00 GB,macOS 26.6 (Build 25G72),10011,9871,2295
543639,https://browser.geekbench.com/ai/v1/543639,August 04 2026 04:31 PM,"Tue, 04 Aug 2026 16:31:50 +0000","MacPro7,1",Mac Pro（2019 年）,,AMD/Other (Hackintosh),Core ML,GPU,AMD Radeon RX 6950 XT,AMD Ryzen 9 9950X,"1 Processor, 16 Cores, 32 Threads",4.30 GHz,96.00 GB,macOS 26.6 (Build 25G72),10096,10059,2246
