id,result_url,upload_date,uploaded_listing,model_id_original,model_name,model_name_en,arch,framework,backend,ai_device,cpu_name,cpu_topology,base_frequency,memory,os,single_precision_score,half_precision_score,quantized_score
544912,https://browser.geekbench.com/ai/v1/544912,August 07 2026 01:36 AM,"Fri, 07 Aug 2026 01:36:16 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,Neural Engine,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.60 GHz,36.00 GB,macOS 26.6.1 (Build 25G76),5417,47253,63544
544918,https://browser.geekbench.com/ai/v1/544918,August 07 2026 02:30 AM,"Fri, 07 Aug 2026 02:30:27 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,CPU,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.27 GHz,128.00 GB,macOS 26.6 (Build 25G72),4894,8638,6815
544925,https://browser.geekbench.com/ai/v1/544925,August 07 2026 02:57 AM,"Fri, 07 Aug 2026 02:57:47 +0000",Mac Studio (2025),Mac Studio (2025),Mac Studio (2025),Apple Silicon,Core ML,CPU,Apple M4 Max,Apple M4 Max,"1 Processor, 14 Cores",4.41 GHz,36.00 GB,macOS 26.3 (Build 25D125),5927,9577,7340
545196,https://browser.geekbench.com/ai/v1/545196,August 07 2026 03:06 PM,"Fri, 07 Aug 2026 15:06:28 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,CPU,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.60 GHz,128.00 GB,macOS 26.6 (Build 25G72),5291,9332,7219
545197,https://browser.geekbench.com/ai/v1/545197,August 07 2026 03:09 PM,"Fri, 07 Aug 2026 15:09:47 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,GPU,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.60 GHz,128.00 GB,macOS 26.6 (Build 25G72),29366,46291,43218
545208,https://browser.geekbench.com/ai/v1/545208,August 07 2026 03:53 PM,"Fri, 07 Aug 2026 15:53:37 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,GPU,Apple M4,Apple M4,"1 Processor, 10 Cores",4.42 GHz,24.00 GB,macOS 26.6 (Build 25G72),11089,12939,11124
545209,https://browser.geekbench.com/ai/v1/545209,August 07 2026 03:59 PM,"Fri, 07 Aug 2026 15:59:13 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,Neural Engine,Apple M4,Apple M4,"1 Processor, 10 Cores",4.42 GHz,24.00 GB,macOS 26.6 (Build 25G72),5044,39650,55639
544959,https://browser.geekbench.com/ai/v1/544959,August 07 2026 05:07 AM,"Fri, 07 Aug 2026 05:07:48 +0000","Mac17,4",MacBook Air（15 英寸，M5，2026 年）,,Apple Silicon,Core ML,CPU,Apple M5,Apple M5,"1 Processor, 10 Cores",2.33 GHz,16.00 GB,macOS 26.5.2 (Build 25F84),3033,4905,3748
545240,https://browser.geekbench.com/ai/v1/545240,August 07 2026 05:47 PM,"Fri, 07 Aug 2026 17:47:17 +0000","MacBook Pro (16-inch, 2024)","MacBook Pro (16-inch, 2024)","MacBook Pro (16-inch, 2024)",Apple Silicon,Core ML,CPU,Apple M4 Pro,Apple M4 Pro,"1 Processor, 14 Cores",4.51 GHz,48.00 GB,macOS 26.5.2 (Build 25F84),5873,9657,7464
544976,https://browser.geekbench.com/ai/v1/544976,August 07 2026 06:26 AM,"Fri, 07 Aug 2026 06:26:17 +0000",Mac Studio (2025),Mac Studio (2025),Mac Studio (2025),Apple Silicon,Core ML,CPU,Apple M4 Max,Apple M4 Max,"1 Processor, 14 Cores",4.51 GHz,36.00 GB,macOS 26.6.1 (Build 25G76),6242,10207,7750
544977,https://browser.geekbench.com/ai/v1/544977,August 07 2026 06:28 AM,"Fri, 07 Aug 2026 06:28:12 +0000",Mac Studio (2025),Mac Studio (2025),Mac Studio (2025),Apple Silicon,Core ML,GPU,Apple M4 Max,Apple M4 Max,"1 Processor, 14 Cores",4.51 GHz,36.00 GB,macOS 26.6.1 (Build 25G76),22916,25471,23843
544978,https://browser.geekbench.com/ai/v1/544978,August 07 2026 06:30 AM,"Fri, 07 Aug 2026 06:30:24 +0000",Mac Studio (2025),Mac Studio (2025),Mac Studio (2025),Apple Silicon,Core ML,Neural Engine,Apple M4 Max,Apple M4 Max,"1 Processor, 14 Cores",4.51 GHz,36.00 GB,macOS 26.6.1 (Build 25G76),6233,41097,57466
545277,https://browser.geekbench.com/ai/v1/545277,August 07 2026 07:13 PM,"Fri, 07 Aug 2026 19:13:20 +0000","Mac17,5",MacBook Neo（A18 Pro，2026 年）,,Apple Silicon,Core ML,CPU,Apple A18 Pro,Apple A18 Pro,"1 Processor, 6 Cores",4.04 GHz,8.00 GB,macOS 26.6.1 (Build 25G76),4911,8278,6608
545278,https://browser.geekbench.com/ai/v1/545278,August 07 2026 07:15 PM,"Fri, 07 Aug 2026 19:15:58 +0000","MacBook Pro (14-inch, 2021)","MacBook Pro (14-inch, 2021)","MacBook Pro (14-inch, 2021)",Apple Silicon,Core ML,CPU,Apple M1 Pro,Apple M1 Pro,"1 Processor, 10 Cores",3.22 GHz,16.00 GB,macOS 26.6 (Build 25G72),3853,6342,5085
545282,https://browser.geekbench.com/ai/v1/545282,August 07 2026 07:18 PM,"Fri, 07 Aug 2026 19:18:17 +0000","MacBook Pro (14-inch, 2021)","MacBook Pro (14-inch, 2021)","MacBook Pro (14-inch, 2021)",Apple Silicon,Core ML,GPU,Apple M1 Pro,Apple M1 Pro,"1 Processor, 10 Cores",3.22 GHz,16.00 GB,macOS 26.6 (Build 25G72),10034,11006,9881
