id,model_name,arch,framework,backend,workload,accuracy,score
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Face Detection (SP),"100%
",4222
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Face Detection (HP),"100%
",43861
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Face Detection (Q),"100%
",64077
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Depth Estimation (SP),"100%
",8597
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Depth Estimation (HP),"99%
",99092
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Depth Estimation (Q),"85%
",169064
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Style Transfer (SP),"100%
",21576
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Style Transfer (HP),"100%
",230573
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Style Transfer (Q),"96%
",295941
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (SP),"100%
",6095
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (HP),"100%
",50250
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (Q),"99%
",84856
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Text Classification (SP),"100%
",2918
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Text Classification (HP),"100%
",6005
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Text Classification (Q),"93%
",6899
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Machine Translation (SP),"100%
",4385
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Machine Translation (HP),"100%
",16357
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Machine Translation (Q),"98%
",18238
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Classification (SP),"100%
",1333
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Classification (HP),"100%
",6517
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Classification (Q),"97%
",6219
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Segmentation (SP),"100%
",1517
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Segmentation (HP),"100%
",9149
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Segmentation (Q),"99%
",9955
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Pose Estimation (SP),"100%
",10288
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Pose Estimation (HP),"100%
",69437
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Pose Estimation (Q),"95%
",64665
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Object Detection (SP),"100%
",1528
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Object Detection (HP),"99%
",7392
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Object Detection (Q),"89%
",6977
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Face Detection (SP),"100%
",3379
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Face Detection (HP),"100%
",14376
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Face Detection (Q),"100%
",13563
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Depth Estimation (SP),"100%
",5700
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Depth Estimation (HP),"99%
",49614
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Depth Estimation (Q),"85%
",51852
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Style Transfer (SP),"100%
",21919
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Style Transfer (HP),"100%
",122911
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Style Transfer (Q),"96%
",114297
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (SP),"100%
",4071
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (HP),"100%
",25600
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (Q),"99%
",26824
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Text Classification (SP),"99%
",4300
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Text Classification (HP),"100%
",6963
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Text Classification (Q),"92%
",6563
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Machine Translation (SP),"100%
",3107
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Machine Translation (HP),"100%
",2747
543047,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Machine Translation (Q),"98%
",2761
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Classification (SP),"100%
",2389
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Classification (HP),"100%
",3665
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Classification (Q),"94%
",2030
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Segmentation (SP),"100%
",2520
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Segmentation (HP),"100%
",3087
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Segmentation (Q),"99%
",4145
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Pose Estimation (SP),"100%
",9963
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Pose Estimation (HP),"100%
",19595
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Pose Estimation (Q),"96%
",17027
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Object Detection (SP),"100%
",2933
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Object Detection (HP),"98%
",4303
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Object Detection (Q),"88%
",2866
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Face Detection (SP),"100%
",5778
